task,model_name,last_linear_layer,best_linear_layer,top_n_head
Length,bert-base-uncased,57.95,87.8,95.0 (8.2)
Length,bert-large-uncased,54.83,94.41,95.2 (0.8)
Length,openai-gpt,52.21,96.42,96.2 (-0.2)
Length,gpt2,57.77,88.92,92.8 (4.3)
Length,transfo-xl-wt103,61.31,63.99,80.9 (26.4)
WordContent,bert-base-uncased,25.18,25.18,73.1 (190.3)
WordContent,bert-large-uncased,12.15,32.22,79.8 (147.5)
WordContent,openai-gpt,35.28,35.28,71.3 (102.0)
WordContent,gpt2,37.47,37.47,71.0 (89.5)
WordContent,transfo-xl-wt103,26.05,26.05,40.8 (56.5)
Depth,bert-base-uncased,29.76,31.7,38.3 (20.8)
Depth,bert-large-uncased,27.84,33.31,39.5 (18.6)
Depth,openai-gpt,27.23,30.56,38.9 (27.2)
Depth,gpt2,28.03,31.0,40.0 (29.1)
Depth,transfo-xl-wt103,31.24,31.24,36.0 (15.2)
TopConstituents,bert-base-uncased,69.82,74.72,84.2 (12.7)
TopConstituents,bert-large-uncased,62.77,78.24,85.6 (9.4)
TopConstituents,openai-gpt,53.0,65.09,79.5 (22.1)
TopConstituents,gpt2,57.29,63.15,82.8 (31.1)
TopConstituents,transfo-xl-wt103,74.47,74.47,77.7 (4.3)
BigramShift,bert-base-uncased,78.08,78.08,88.3 (13.1)
BigramShift,bert-large-uncased,77.16,81.08,90.9 (12.1)
BigramShift,openai-gpt,69.26,69.26,80.7 (16.5)
BigramShift,gpt2,68.76,70.45,78.8 (11.8)
BigramShift,transfo-xl-wt103,61.46,61.46,65.2 (6.2)
Tense,bert-base-uncased,85.97,86.97,89.0 (2.4)
Tense,bert-large-uncased,85.64,86.67,88.9 (2.5)
Tense,openai-gpt,88.64,88.64,89.0 (0.5)
Tense,gpt2,88.17,88.6,89.3 (0.8)
Tense,transfo-xl-wt103,82.41,82.64,85.4 (3.4)
SubjNumber,bert-base-uncased,81.94,84.72,88.2 (4.1)
SubjNumber,bert-large-uncased,80.04,87.94,90.5 (2.9)
SubjNumber,openai-gpt,78.81,78.81,84.2 (6.8)
SubjNumber,gpt2,83.45,83.45,87.7 (5.1)
SubjNumber,transfo-xl-wt103,82.23,82.23,84.8 (3.1)
ObjNumber,bert-base-uncased,75.42,75.42,83.4 (10.6)
ObjNumber,bert-large-uncased,64.24,78.04,84.4 (8.2)
ObjNumber,openai-gpt,71.22,71.86,80.5 (12.0)
ObjNumber,gpt2,70.24,74.09,82.5 (11.4)
ObjNumber,transfo-xl-wt103,72.14,72.14,80.1 (11.0)
OddManOut,bert-base-uncased,59.58,59.58,65.1 (9.3)
OddManOut,bert-large-uncased,55.52,59.18,69.0 (16.5)
OddManOut,openai-gpt,54.96,58.21,63.0 (8.2)
OddManOut,gpt2,54.57,54.9,55.5 (1.0)
OddManOut,transfo-xl-wt103,50.59,50.59,51.2 (1.3)
CoordinationInversion,bert-base-uncased,65.52,65.87,74.6 (13.2)
CoordinationInversion,bert-large-uncased,64.91,70.91,78.5 (10.7)
CoordinationInversion,openai-gpt,57.7,60.66,70.2 (15.7)
CoordinationInversion,gpt2,58.34,60.04,67.6 (12.6)
CoordinationInversion,transfo-xl-wt103,62.26,62.26,64.8 (4.1)
